sp,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Canal da Lagoa,PNLP - Banhado do balneário, PNLP - Lagoa do meio,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
PODICIPEDIDAE,,,,,,,,,,,,,
Rollandia rolland,0,0,1,0,3,0,0,0,0,0,0,0,0
Tachybaptus dominicus,0,0,0,0,0,0,0,0,0,0,0,0,0
Podilymbus podiceps,1,1,0,1,0,0,0,2,0,0,0,0,0
Podiceps major,0,0,0,2,0,0,1,1,1,0,0,0,2
PHALACROCORACIDAE,,,,,,,,,,,,,
Phalacrocorax brasiliensis,3,0,4,0,0,0,3,0,10,0,0,0,7
ANHINGIDAE,,,,,,,,,,,,,
Anhinga anhinga,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDEIDAE,,,,,,,,,,,,,
Ardea cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea cocoi,0,0,0,4,4,0,1,0,3,1,0,1,1
Casmerodius  albus,2,0,0,26,4,5,1,3,0,0,0,0,20
Ardea ibis,0,0,0,0,1,0,0,0,0,0,0,0,0
Butorides striatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta thula,0,0,0,0,0,0,0,1,0,0,0,1,1
Syrigma sibilatrix,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilherodius pileatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctanassa violacea,0,0,0,0,0,0,0,0,0,0,0,0,0
Nycticorax nycticorax,0,0,0,4,0,0,0,0,0,0,0,0,0
Botaurus pinnatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0,0,0,0,0,0
Agamia agamia,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0,0,0,0,0,0
CICONIIDAE,,,,,,,,,,,,,
Mycteria americana,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciconia maguari,0,1,0,6,1,0,0,8,2,0,0,0,0
Jabiru mycteria,0,0,0,0,0,0,0,0,0,0,0,0,0
THRESKIORNITIDAE,,,,,,,,,,,,,
Theristicus caerulescens,0,0,0,0,0,0,1,0,0,0,0,0,0
Theristicus caudatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesembrinibis cayennensis,0,0,0,0,0,0,0,0,0,0,0,0,0
Phimosus infuscatus,0,4,0,2,0,0,1,5,0,0,0,0,0
Eudocimus ruber,0,0,0,0,0,0,0,0,0,0,0,0,0
Plegadis chihi,0,10,229,2,0,0,10,6,101,80,0,0,102
Ajaja ajaja,0,2,0,19,0,0,5,4,0,30,0,0,2
PHOENICOPTERIDAE,,,,,,,,,,,,,
Phoenicopterus ruber,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenicopterus chilensis,0,0,0,0,0,0,0,0,0,0,27,0,0
ANHIMIDAE,,,,,,,,,,,,,
Anhima cornuta,0,0,0,0,0,0,0,0,0,0,0,0,0
Chauna torquata,0,0,0,0,2,0,7,7,4,0,0,0,0
ANATIDAE,,,,,,,,,,,,,
Dendrocygna bicolor,0,3,2,0,0,0,0,0,1500,0,0,0,0
Dendrocygna viduata,24,54,0,0,0,0,0,0,1500,0,0,0,0
Dendrocygna autumnalis,0,0,0,0,0,0,0,0,0,0,0,0,0
Cygnus melanocorypha,0,0,0,2,0,0,0,46,0,52,0,0,0
Coscoroba coscoroba,0,0,78,34,0,0,0,15,18,13,0,0,0
Neochen jubata,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairina moschata,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarkidiornis melanotos,0,0,0,0,0,0,0,0,0,0,0,0,0
Callonetta leucophrys,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazonetta brasiliensis,0,73,25,5,2,0,0,8,4,13,0,2,6
Anas sibilatrix,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas flavirostris,0,0,0,0,0,0,1,1,6,0,0,0,0
Anas georgica,0,0,0,1,0,0,0,2,0,6,0,0,2
Anas bahamensis,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas versicolor,7,7,0,2,0,0,7,4,8,2,0,0,0
Anas discors,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas cyanoptera,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas platalea,0,0,0,0,0,0,0,0,0,0,0,0,0
Netta erythrophthalma,0,0,0,0,0,0,0,0,0,0,0,0,0
Netta peposaca,0,0,1145,921,2,0,0,0,0,0,0,0,0
Mergus octosetaceus,0,0,0,0,0,0,0,0,0,0,0,0,0
Heteronetta atricapilla,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxyura dominica,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxyura vittata,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAMIDAE,,,,,,,,,,,,,
Aramus guarauna,2,1,1,1,0,0,2,0,0,0,0,0,0
RALLIDAE,,,,,,,,,,,,,
Coturnicops notatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Anurolimnas viridis,0,0,0,0,0,0,0,0,0,0,0,0,0
Anurolimnas fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterallus melanophaius,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterallus exilis,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterallus leucopyrrhus,0,0,0,0,0,0,0,0,0,0,0,0,0
Rallus longirostris,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides mangle,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides cajanea,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides ypecaha,0,0,0,0,0,0,0,0,0,0,0,0,0
Aramides saracura,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaurolimnas concolor,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana spiloptera,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana albicollis,0,0,0,0,0,0,0,0,0,0,0,0,0
Porzana flaviventer,0,0,0,0,0,0,0,0,0,0,0,0,0
Neocrex erythrops,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus nigricans,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardirallus sanguinolentus,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrio martinicus,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyriops melanops,0,0,0,1,0,0,0,0,0,0,0,0,0
Porphyrio flavirostris,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinula chloropus,10,120,399,96,95,0,5,0,115,0,0,0,2
Gallinula melanops,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica leucoptera,0,5,57,0,253,0,3,0,54,0,0,0,1
Fulica armillata,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulica rufifrons,0,0,0,0,0,0,0,0,0,0,0,0,0
HELIORNITHIDAE,,,,,,,,,,,,,
Heliornis fulica,0,0,0,0,0,0,0,0,0,0,0,0,0
EURYPYGIDAE,,,,,,,,,,,,,
Eurypyga helias,0,0,0,0,0,0,0,0,0,0,0,0,0
JACANIDAE,,,,,,,,,,,,,
Jacana jacana,2,2,2,15,3,0,0,0,2,0,0,0,0
ROSTRATULIDAE,,,,,,,,,,,,,
Rostratula semicollaris,0,0,0,0,0,0,0,0,0,0,0,0,0
HAEMATOPODIDAE,,,,,,,,,,,,,
Haematopus palliatus,0,0,0,0,0,0,0,0,0,4,0,85,0
RECURVIROSTRIDAE,,,,,,,,,,,,,
Himantopus mexicanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Himantopus melanurus,0,0,0,0,0,0,0,2,23,5,0,8,6
BURHINIDAE,,,,,,,,,,,,,
Burhinus bistriatus,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARADRIIDAE,,,,,,,,,,,,,
Vanellus cayanus,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanellus chilensis,0,0,6,3,0,0,0,0,0,0,0,0,0
Pluvialis dominica,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluvialis squatarola,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius semipalmatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius wilsonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius collaris,0,0,0,0,2,0,0,0,0,0,0,2,0
Charadrius falklandicus,0,0,0,0,0,0,0,0,0,0,0,0,0
Charadrius modestus,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreopholus ruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0
SCOLOPACIDAE,,,,,,,,,,,,,
Gallinago galinago,0,0,0,0,0,0,0,0,1,0,0,0,0
Gallinago paraguaiae,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinago undulata,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnodromus griseus,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosa haemastica,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius borealis,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius phaeopus,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartramia longicauda,0,0,0,0,0,0,0,0,0,0,0,0,0
Tringa melanoleuca,0,0,0,0,0,0,0,0,0,0,0,0,0
Tringa flavipes,0,0,0,0,6,0,0,0,50,0,0,0,0
Tringa solitaria,0,0,0,0,0,0,0,0,0,0,0,0,0
Catoptrophorus semipalmatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria interpres,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris canutus,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris alba,0,0,0,0,0,0,0,0,0,0,0,53,0
Calidris pusilla,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris minutilla,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris fuscicollis,0,0,0,0,0,0,0,0,0,0,0,6,0
Calidris bairdii,0,0,0,0,0,0,0,0,0,0,0,0,0
Micropalama himantopus  (Calidris melanotos),0,0,0,0,0,0,0,0,0,0,0,0,0
Tryngites subruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0
Philomachus pugnax,0,0,0,0,0,0,0,0,0,0,0,0,0
Steganopus tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
LARIDAE,,,,,,,,,,,,,
Larus atlanticus,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus dominicanus,0,0,0,0,1,0,4,0,0,0,0,23,0
Larus cirrocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus maculipennis,0,2,6,2,1,0,2,5,2,182,0,41,88
Larus atricilla,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna eurygnatha,0,0,0,0,0,0,0,0,0,0,16,0,0
Sterna sandvicensis,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna maxima,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna dougallii,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundinacea,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundo,0,0,0,0,0,0,0,1,0,0,29,158,5
Sterna paradisaea,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna vittata,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna trudeaui,0,0,0,0,0,0,0,0,0,0,0,1,0
Sterna antillarum,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna superciliaris,0,0,0,0,0,0,0,0,0,0,0,4,0
Sterna fuscata,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlidonias niger,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaetusa simplex,0,0,0,0,0,0,0,0,0,0,0,1,2
Anous stolidus,0,0,0,0,0,0,0,0,0,0,0,0,0
Anous minutus,0,0,0,0,0,0,0,0,0,0,0,0,0
RYNCHOPIDAE,,,,,,,,,,,,,
Rynchops niger,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCIPTRIDAE,,,,,,,,,,,,,
Maçaricos,0,0,0,0,0,0,0,20,0,0,0,0,0
Rostrhamus sociabilis,0,0,1,1,0,0,0,1,0,0,0,0,2
Circus buffoni,0,0,0,2,0,0,0,0,0,0,0,0,0
FALCONIDAE,,,,,,,,,,,,,
Milvago chimango,0,0,0,0,0,0,0,2,0,0,0,0,1
Milvago chimachima,0,0,0,0,0,0,1,0,0,0,0,0,0
HIRUNDINIDAE,,,,,,,,,,,,,
Tachycineta leucorrhoa,0,5,0,0,0,0,0,0,0,0,0,0,0
MOTACILLIDAE,,,,,,,,,,,,,
Anthus lutescens,0,0,0,0,0,0,0,0,0,0,0,0,4
Anthus correndera,0,0,0,1,0,0,0,0,0,0,0,0,0
TYRRANIDAE,,,,,,,,,,,,,
Pitangus sulphuratus,0,0,0,0,0,0,0,0,0,0,0,0,3
FURNARIIDAE,,,,,,,,,,,,,
Anumbius annumbi,0,0,0,0,0,0,0,0,0,0,0,0,4
Furnarius rufus,0,0,0,2,0,0,0,0,0,0,0,0,0
Certhiaxis cinnamomea,0,0,0,0,0,0,0,0,0,0,0,0,5
ALCEDINIDAE,,,,,,,,,,,,,
Ceryle torquata,0,0,0,0,0,0,0,0,1,0,0,0,0
Chloroceryle amazona,0,0,0,0,1,0,0,0,0,0,0,0,0
OUTRAS,,,,,,,,,,,,,
Hemithraupis guira,0,0,0,100,0,0,0,0,0,0,0,0,0
Xolmis irupero,0,0,0,0,0,0,0,0,0,0,0,0,0
